respondent_id,native_speaker,exp_years,prompt_familiarity,length_l1_rating,length_l1_clarity,length_l1_completeness,length_l2_rating,length_l2_clarity,length_l2_completeness,length_l3_rating,length_l3_clarity,length_l3_completeness,redundancy_r1_clear,redundancy_r1_excessive,redundancy_r1_effective,redundancy_r2_clear,redundancy_r2_excessive,redundancy_r2_effective,redundancy_r3_clear,redundancy_r3_excessive,redundancy_r3_effective,density_c1_rules,density_c1_load,density_c1_likely,density_c2_rules,density_c2_load,density_c2_likely,density_c3_rules,density_c3_load,density_c3_likely,rank_short,rank_medium,rank_long,preferred_redundancy,preferred_density,feedback
N1,Yes,3+,Advanced,1,3,1,3,5,4,5,4,5,5,1,3,4,2,4,3,4,4,1,1,5,3,2,4,5,4,3,2,1,3,Medium,Medium,"Long prompts cause models to lose focus..."
N2,Yes,3+,Advanced,1,4,2,3,5,4,5,3,5,5,1,2,4,2,4,2,5,3,1,1,5,3,2,5,5,4,2,2,1,3,Medium,Medium,"High redundancy backfires..."
N3,Yes,3+,Intermediate,1,3,2,3,5,4,5,4,5,4,1,3,5,2,4,3,4,4,1,1,5,3,2,5,5,3,4,2,1,3,Medium,Medium,"Students often over-prompt..."
N4,Yes,2-3,Intermediate,1,4,2,3,5,4,5,4,5,5,1,4,5,2,5,4,4,5,1,1,4,3,2,4,5,3,3,2,1,3,Medium,Medium,"Medium redundancy with varied phrasing works best..."
N5,Yes,0-1,Beginner,1,5,3,3,5,4,5,4,5,5,1,4,5,2,5,4,3,5,1,1,5,3,2,5,5,3,4,2,1,3,Medium,Medium,"I usually write short prompts. Maybe I should add more detail..."
N6,Yes,3+,Advanced,1,3,1,3,5,4,5,4,5,4,1,3,5,2,5,3,5,4,1,1,5,3,2,5,5,5,2,2,1,3,Medium,Low,"In production systems, 5 rules cause models to drop constraints..."
N7,Yes,3+,Intermediate,1,4,2,3,5,4,5,3,5,4,1,3,5,2,4,3,4,4,1,1,5,3,2,4,5,3,3,2,1,3,Medium,Medium,"Long prompts increase latency and cost without proportional benefit..."
N8,Yes,2-3,Intermediate,1,3,1,3,5,3,5,5,5,4,1,3,5,2,4,3,4,4,1,1,5,3,2,4,5,3,3,2,1,3,Medium,Medium,"Medium-length prompt is most natural linguistically..."
N9,Yes,1-2,Beginner,1,4,2,3,5,4,5,4,5,5,1,4,5,2,5,4,3,5,1,1,5,3,2,5,4,3,4,2,1,3,Medium,Medium,"Clear, concise, with one reminder works best..."
N10,Yes,3+,Advanced,1,3,1,3,5,3,5,4,5,5,1,3,4,2,4,2,5,3,1,1,5,3,2,4,5,4,2,2,1,3,None,Low,"Simple, clear instructions with no redundancy are more neutral..."
N11,Yes,2-3,Intermediate,1,5,2,3,5,4,5,3,5,5,1,3,4,2,4,3,4,4,1,1,5,3,2,4,5,3,3,2,1,3,Medium,Medium,"Medium-length prompts with 3 specific constraints work best..."
N12,Yes,1-2,Intermediate,1,4,2,3,5,4,5,4,5,5,1,3,5,2,4,3,4,4,1,1,5,3,2,4,5,3,3,2,1,3,Medium,Medium,"Users naturally write medium-length prompts with 2-3 constraints..."
N13,Yes,1-2,Beginner,1,5,2,3,5,4,5,3,5,5,1,4,4,2,5,3,4,5,1,1,5,3,2,5,5,3,4,2,1,3,Medium,Medium,"For fact-checking, citations are critical. Medium redundancy sufficient..."
NN1,No,1-2,Beginner,1,4,2,3,4,3,5,3,5,4,1,3,4,2,4,3,3,4,1,1,4,3,2,4,5,3,3,2,1,3,Medium,Low,"Long prompts are harder for me to understand as non-native speaker..."
NN2,No,3+,Intermediate,1,5,3,3,5,4,5,3,5,5,1,4,5,2,5,3,4,4,1,1,5,3,2,4,5,3,3,2,1,3,Medium,Medium,"For non-native speakers, clear structure is important..."
NN3,No,3+,Advanced,1,4,2,3,5,4,5,4,5,5,1,4,5,2,5,4,3,5,1,1,5,3,2,5,5,4,3,2,1,3,Medium,Medium,"Medium redundancy reinforces key instructions without being annoying..."